Tickers,Market Cap
HBI,7279474176
CBOE,11687710720
EVHC,5359378944
CCL,43752992768
YUM,26848020480
FLIR,7550886400
PRU,42831601664
BWA,10605948928
RF,21553248256
DLPH,4710524928
CHD,11858258944
URBN,5121664512
NAVI,3918814976
FITB,21846757376
EQR,24639191040
URI,14028345344
WMT,248003346432
TGNA,2415616000
GD,60496707584
XLNX,17697734656
MAR,49360162816
IPG,9013456896
FOXA,74709557248
MAA,11340437504
MAC,8664729600
SYY,34562342912
APD,37002137600
AES,8429542912
BEN,18712805376
WFC,272831987712
CME,58002980864
REGN,33092636672
IFF,9945633792
AEE,13664116736
NVDA,158851907584
HD,230188908544
AMG,9049981952
MNK,1610183296
ROP,29360881664
LMT,91584856064
PKI,8702471168
PAYX,24480999424
MHK,15755619328
SHW,37008379904
ED,22400524288
DISCK,17014193152
ORLY,23431659520
COTY,10488755200
MOS,11385218048
MU,71678615552
UHS,11020868608
MCHP,24025481216
ETR,13834844160
COP,82214969344
AMGN,121317171200
REG,10100719616
KMX,13204781056
NI,8474050560
ZBH,23122077696
BBBY,2793572096
FLS,5546053120
LNC,15296193536
EXPD,13413677056
ETFC,17266149376
HIG,19078064128
DNB,4959164928
CF,10053149696
VTR,19643684864
CLX,16503204864
JPM,380806135808
BBT,42800586752
ZTS,42231349248
TDG,18009055232
KR,20835401728
JNPR,9753561088
BF-B,26373750784
SWN,2896930816
AIV,6909509120
CVS,67932553216
BAC,307783532544
MSI,18201276416
TWX,74813161472
ADS,12325347328
PYPL,99960422400
A,21104033792
HOG,7055109632
ZION,11314401280
IR,22939242496
L,16141725696
IRM,9870096384
STX,16465876992
PFE,213333819392
NKE,120414584832
PFG,16501560320
