Tickers,PE Ratio
HBI,122.5
CBOE,28.17073
EVHC,0.0
CCL,16.67305
YUM,22.063662
FLIR,71.5065
PRU,5.63053
BWA,24.048079
RF,19.014927
DLPH,16.542055
CHD,16.61724
URBN,48.354164
NAVI,14.23077
FITB,11.236312
EQR,39.680588
URI,10.603942
WMT,25.719513
TGNA,8.578238
GD,21.190376
XLNX,36.162247
MAR,38.332413
IPG,15.835617
FOXA,18.48821
MAA,33.112106
MAC,55.882355
SYY,29.703638
APD,12.994293
AES,0.0
BEN,28.819096
WFC,13.291955
CME,14.319096
REGN,29.796906
IFF,33.981182
AEE,0.0
NVDA,43.597076
HD,27.205761
AMG,13.718727
MNK,0.8866973
ROP,30.413202
LMT,46.772602
PKI,29.614222
PAYX,29.383621
MHK,4.2176285
SHW,21.318014
ED,14.726721
DISCK,0.0
ORLY,22.346489
COTY,0.0
MOS,0.0
MU,7.4070945
UHS,14.335447
MCHP,101.33929
ETR,33.723686
COP,0.0
AMGN,68.51301
REG,59.47
KMX,20.497223
NI,60.307697
ZBH,12.86517
BBBY,6.4342103
FLS,2108.5
LNC,7.6995773
EXPD,28.446095
ETFC,30.423256
HIG,0.0
DNB,26.009058
CF,28.222223
VTR,14.5079365
CLX,20.908941
JPM,17.608559
BBT,19.927006
ZTS,43.629967
TDG,26.755335
KR,12.133972
JNPR,34.899998
BF-B,34.240463
SWN,2.993865
AIV,21.27551
CVS,10.249923
BAC,17.407192
MSI,0.0
TWX,14.367087
ADS,15.771631
PYPL,57.374146
A,109.55
HOG,14.278541
ZION,21.996155
IR,17.986912
L,14.614492
IRM,55.199364
STX,25.468609
PFE,10.188941
NKE,32.41021
PFG,7.208122
